                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0614,                 2.4794,                 1.4123,                      1,                0.15114,                0.49435,                0.36228,                 1.1499,                 2.4225,                 1.5292,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.0877,                 1.9336,                 1.3967,                0.44459,                0.70273,                0.44928,                0.31386,                 1.3599,                 2.0673,                 1.8125,              0.0010878,              0.0010878,              0.0010878
                      3,                  1.126,                 1.7357,                 1.4669,                0.44717,                0.46321,                0.45521,                 0.2436,                  1.407,                 3.4958,                 1.7586,              0.0016216,              0.0016216,              0.0016216
                      4,                 1.1222,                 1.7828,                 1.4391,                0.45272,                0.57878,                0.53168,                  0.312,                  1.655,                 3.0687,                 2.0462,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1626,                 1.6437,                 1.4503,                 0.4658,                0.59664,                0.47322,                0.28289,                 1.4918,                 2.8195,                 1.8079,               0.001601,               0.001601,               0.001601
                      6,                 1.0708,                 1.5873,                 1.3859,                0.49817,                0.64916,                0.48128,                0.26375,                 1.5899,                 2.4036,                 1.9495,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1277,                   1.57,                 1.4123,                0.55565,                0.67332,                0.53302,                0.33506,                 1.5089,                 1.9159,                 1.8894,               0.001568,               0.001568,               0.001568
                      8,                 1.1429,                 1.6493,                  1.438,                0.55732,                0.60189,                0.52454,                0.28219,                  1.602,                 2.1643,                 1.9189,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0624,                 1.5326,                 1.3658,                0.69108,                0.57248,                0.56831,                0.31804,                 1.5711,                 1.7461,                  1.923,               0.001535,               0.001535,               0.001535
                     10,                 1.0898,                  1.541,                 1.4307,                0.60662,                0.60317,                0.57015,                0.36459,                    1.5,                 2.0683,                 1.8104,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0456,                 1.4681,                 1.3299,                0.71582,                 0.6077,                0.63365,                0.41651,                 1.3926,                 1.8062,                 1.7537,               0.001502,               0.001502,               0.001502
                     12,                 1.0747,                 1.4532,                 1.3644,                0.57424,                0.55065,                0.52019,                0.35235,                 1.4592,                 2.4251,                 1.8214,              0.0014855,              0.0014855,              0.0014855
                     13,                0.96671,                 1.3715,                 1.2964,                0.70776,                 0.6747,                0.63886,                0.45484,                  1.372,                 1.8446,                 1.8032,               0.001469,               0.001469,               0.001469
